source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051241,negative regulation of multicellular organismal process,1.1154775370041145e-08,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1087,731,84,21026,0.11491108071135431,0.07727690892364306,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0000902,cell morphogenesis,1.4156266260529348e-08,True,"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",996,731,79,21026,0.10807113543091655,0.07931726907630522,query_1,['GO:0009653']
GO:BP,GO:0006629,lipid metabolic process,1.480533117979977e-08,True,"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]",1391,731,99,21026,0.1354309165526676,0.07117181883537024,query_1,['GO:0044238']
GO:BP,GO:0098916,anterograde trans-synaptic signaling,1.5292378790289377e-08,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",775,731,67,21026,0.09165526675786594,0.08645161290322581,query_1,['GO:0099537']
GO:BP,GO:0007268,chemical synaptic transmission,1.5292378790289377e-08,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",775,731,67,21026,0.09165526675786594,0.08645161290322581,query_1,['GO:0098916']
GO:BP,GO:0001667,ameboidal-type cell migration,2.1297137639694505e-08,True,"""Cell migration that is accomplished by extension and retraction of a pseudopodium."" [GOC:dph]",235,731,33,21026,0.04514363885088919,0.14042553191489363,query_1,['GO:0016477']
GO:BP,GO:0048522,positive regulation of cellular process,2.3636625263113452e-08,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,731,289,21026,0.3953488372093023,0.04881756756756757,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0099536,synaptic signaling,3.345781686259761e-08,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",807,731,68,21026,0.09302325581395349,0.08426270136307311,query_1,['GO:0007267']
GO:BP,GO:0048699,generation of neurons,3.5166906015702114e-08,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1536,731,105,21026,0.1436388508891929,0.068359375,query_1,['GO:0022008']
GO:BP,GO:1901700,response to oxygen-containing compound,4.583513218897584e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1669,731,111,21026,0.1518467852257182,0.0665068903535051,query_1,['GO:0042221']
GO:BP,GO:0006935,chemotaxis,5.032841274652479e-08,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",467,731,48,21026,0.06566347469220246,0.10278372591006424,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0071363,cellular response to growth factor stimulus,5.3658590854658334e-08,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]",689,731,61,21026,0.08344733242134063,0.08853410740203194,query_1,"['GO:0070848', 'GO:0071495']"
GO:BP,GO:0042330,taxis,5.85077119066112e-08,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",469,731,48,21026,0.06566347469220246,0.1023454157782516,query_1,"['GO:0009605', 'GO:0040011']"
GO:BP,GO:0030182,neuron differentiation,7.312624597206612e-08,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",1451,731,100,21026,0.13679890560875513,0.06891798759476224,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0048583,regulation of response to stimulus,7.556792844858829e-08,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,731,211,21026,0.28864569083447333,0.05284247433007764,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0050673,epithelial cell proliferation,8.088289965593272e-08,True,"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances."" [ISBN:0721662544]",441,731,46,21026,0.06292749658002736,0.10430839002267574,query_1,['GO:0008283']
GO:BP,GO:0006936,muscle contraction,9.160618747092044e-08,True,"""A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis."" [GOC:ef, GOC:mtg_muscle, ISBN:0198506732]",349,731,40,21026,0.05471956224350205,0.11461318051575932,query_1,['GO:0003012']
GO:BP,GO:0048666,neuron development,1.1341071211658609e-07,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",1177,731,86,21026,0.11764705882352941,0.07306711979609176,query_1,"['GO:0030182', 'GO:0048468']"
GO:BP,GO:0061564,axon development,1.1521245586941117e-07,True,"""The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."" [GOC:dph, GOC:pg, GOC:pr]",528,731,51,21026,0.06976744186046512,0.09659090909090909,query_1,['GO:0031175']
GO:BP,GO:0051093,negative regulation of developmental process,1.2179505080163538e-07,True,"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",925,731,73,21026,0.09986320109439124,0.07891891891891892,query_1,"['GO:0032502', 'GO:0048519', 'GO:0050793']"
GO:BP,GO:0070848,response to growth factor,1.2254192389855065e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]",721,731,62,21026,0.08481532147742818,0.08599167822468794,query_1,['GO:0009719']
GO:BP,GO:0048667,cell morphogenesis involved in neuron differentiation,1.3761400899175007e-07,True,"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]",599,731,55,21026,0.07523939808481532,0.09181969949916527,query_1,"['GO:0000902', 'GO:0048666']"
GO:BP,GO:0007411,axon guidance,1.4064961738908325e-07,True,"""The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues."" [ISBN:0878932437]",238,731,32,21026,0.04377564979480164,0.13445378151260504,query_1,"['GO:0007409', 'GO:0097485']"
GO:BP,GO:0097485,neuron projection guidance,1.571410892788459e-07,True,"""The process in which the migration of a neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues."" [GOC:BHF, GOC:rl, PMID:22790009]",239,731,32,21026,0.04377564979480164,0.13389121338912133,query_1,"['GO:0031175', 'GO:0048812']"
GO:BP,GO:0009913,epidermal cell differentiation,1.6045620475088448e-07,True,"""The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis."" [GOC:dph, GOC:go_curators, GOC:mtg_sensu, GOC:sdb_2009, GOC:tb]",253,731,33,21026,0.04514363885088919,0.13043478260869565,query_1,"['GO:0008544', 'GO:0030855']"
GO:BP,GO:0048519,negative regulation of biological process,2.845490379648928e-07,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5834,731,281,21026,0.3844049247606019,0.048165923894412065,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0010647,positive regulation of cell communication,4.008265376910414e-07,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1795,731,114,21026,0.15595075239398085,0.06350974930362117,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:0050804,modulation of chemical synaptic transmission,4.1204999056074196e-07,True,"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]",513,731,49,21026,0.06703146374829001,0.09551656920077972,query_1,"['GO:0007268', 'GO:0099177']"
GO:BP,GO:0023056,positive regulation of signaling,4.1450525573636816e-07,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1796,731,114,21026,0.15595075239398085,0.06347438752783964,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:0007409,axonogenesis,4.156580579198072e-07,True,"""De novo generation of a long process of a neuron, including the terminal branched region. Refers to the morphogenesis or creation of shape or form of the developing axon, which carries efferent (outgoing) action potentials from the cell body towards target cells."" [GOC:dph, GOC:jid, GOC:pg, GOC:pr, ISBN:0198506732]",463,731,46,21026,0.06292749658002736,0.09935205183585313,query_1,"['GO:0048667', 'GO:0048812', 'GO:0061564']"
GO:BP,GO:0099177,regulation of trans-synaptic signaling,4.4076979897289575e-07,True,"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]",514,731,49,21026,0.06703146374829001,0.09533073929961089,query_1,"['GO:0010646', 'GO:0023051', 'GO:0099537']"
GO:BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,5.785639901798088e-07,True,"""The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized."" [GOC:krc]",676,731,58,21026,0.07934336525307797,0.08579881656804733,query_1,['GO:0048858']
GO:BP,GO:0048545,response to steroid hormone,5.929480615354609e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus."" [GOC:go_curators]",340,731,38,21026,0.05198358413132695,0.11176470588235295,query_1,"['GO:0009725', 'GO:0033993']"
GO:BP,GO:0048812,neuron projection morphogenesis,6.492362212389042e-07,True,"""The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."" [GOC:mah]",660,731,57,21026,0.07797537619699042,0.08636363636363636,query_1,"['GO:0031175', 'GO:0120039']"
GO:BP,GO:0048858,cell projection morphogenesis,7.676679517096433e-07,True,"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]",681,731,58,21026,0.07934336525307797,0.08516886930983847,query_1,"['GO:0000902', 'GO:0009653', 'GO:0030030']"
GO:BP,GO:0008217,regulation of blood pressure,7.831758815940102e-07,True,"""Any process that modulates the force with which blood travels through the circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure."" [GOC:dph, GOC:mtg_cardio, ISBN:0721643949]",186,731,27,21026,0.036935704514363885,0.14516129032258066,query_1,"['GO:0008015', 'GO:0065008']"
GO:BP,GO:0050919,negative chemotaxis,9.354093971589343e-07,True,"""The directed movement of a motile cell or organism towards a lower concentration of a chemical."" [GOC:ai, GOC:bf, GOC:isa_complete]",47,731,14,21026,0.019151846785225718,0.2978723404255319,query_1,['GO:0006935']
GO:BP,GO:0042391,regulation of membrane potential,9.449665318404516e-07,True,"""Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."" [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",458,731,45,21026,0.06155950752393981,0.0982532751091703,query_1,['GO:0065008']
GO:BP,GO:0046903,secretion,1.1568138844401616e-06,True,"""The controlled release of a substance by a cell or a tissue."" [GOC:ai]",992,731,74,21026,0.1012311901504788,0.07459677419354839,query_1,['GO:0006810']
GO:BP,GO:0009605,response to external stimulus,1.3090484490984449e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2415,731,140,21026,0.19151846785225718,0.057971014492753624,query_1,['GO:0050896']
GO:BP,GO:0098609,cell-cell adhesion,1.3618166731820613e-06,True,"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]",976,731,73,21026,0.09986320109439124,0.07479508196721311,query_1,['GO:0007155']
GO:BP,GO:0060485,mesenchyme development,1.4742264729109093e-06,True,"""The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells."" [GOC:dph]",320,731,36,21026,0.049247606019151846,0.1125,query_1,"['GO:0009888', 'GO:0048513']"
GO:BP,GO:0007417,central nervous system development,1.7611271057327544e-06,True,"""The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."" [GOC:bf, GOC:jid, ISBN:0582227089]",1061,731,77,21026,0.10533515731874145,0.07257304429783223,query_1,"['GO:0007399', 'GO:0048731']"
GO:BP,GO:0031175,neuron projection development,1.9034190551196487e-06,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",1023,731,75,21026,0.10259917920656635,0.07331378299120235,query_1,"['GO:0048666', 'GO:0120036']"
GO:BP,GO:0007626,locomotory behavior,2.2235420229910846e-06,True,"""The specific movement from place to place of an organism in response to external or internal stimuli. Locomotion of a whole organism in a manner dependent upon some combination of that organism's internal state and external conditions."" [GOC:dph]",222,731,29,21026,0.03967168262653899,0.13063063063063063,query_1,['GO:0007610']
GO:BP,GO:0048762,mesenchymal cell differentiation,2.6350194776155727e-06,True,"""The process in which a relatively unspecialized cell acquires specialized features of a mesenchymal cell. A mesenchymal cell is a loosely associated cell that is part of the connective tissue in an organism. Mesenchymal cells give rise to more mature connective tissue cell types."" [GOC:dph, GOC:jid]",252,731,31,21026,0.04240766073871409,0.12301587301587301,query_1,"['GO:0030154', 'GO:0060485']"
GO:BP,GO:0051960,regulation of nervous system development,2.808565594375333e-06,True,"""Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]",457,731,44,21026,0.060191518467852256,0.0962800875273523,query_1,"['GO:0007399', 'GO:2000026']"
KEGG,KEGG:00350,Tyrosine metabolism,2.9298052353858882e-06,True,Tyrosine metabolism,36,379,12,8484,0.0316622691292876,0.3333333333333333,query_1,['KEGG:00000']
GO:BP,GO:0008285,negative regulation of cell population proliferation,3.001654961137167e-06,True,"""Any process that stops, prevents or reduces the rate or extent of cell proliferation."" [GOC:go_curators]",706,731,58,21026,0.07934336525307797,0.0821529745042493,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048523']"
GO:BP,GO:0048584,positive regulation of response to stimulus,3.0782824863807405e-06,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,731,135,21026,0.18467852257181944,0.05791505791505792,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0060322,head development,4.077358014837066e-06,True,"""The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body."" [GOC:dph]",806,731,63,21026,0.08618331053351573,0.07816377171215881,query_1,['GO:0048856']
GO:BP,GO:0141124,intracellular signaling cassette,4.148430604424158e-06,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,731,116,21026,0.15868673050615595,0.060669456066945605,query_1,['GO:0035556']
GO:BP,GO:0050678,regulation of epithelial cell proliferation,4.166599674927287e-06,True,"""Any process that modulates the frequency, rate or extent of epithelial cell proliferation."" [GOC:ai]",364,731,38,21026,0.05198358413132695,0.1043956043956044,query_1,"['GO:0042127', 'GO:0050673']"
GO:BP,GO:0003018,vascular process in circulatory system,4.385038151184574e-06,True,"""A circulatory process that occurs at the level of the vasculature."" [GOC:mtg_cardio]",272,731,32,21026,0.04377564979480164,0.11764705882352941,query_1,['GO:0003013']
GO:BP,GO:0007507,heart development,4.798272741206636e-06,True,"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]",605,731,52,21026,0.07113543091655267,0.0859504132231405,query_1,"['GO:0048513', 'GO:0072359']"
GO:BP,GO:0040007,growth,5.591207503273549e-06,True,"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]",929,731,69,21026,0.09439124487004104,0.07427341227125941,query_1,['GO:0008150']
GO:BP,GO:0034329,cell junction assembly,6.1101210584273935e-06,True,"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]",503,731,46,21026,0.06292749658002736,0.09145129224652088,query_1,"['GO:0022607', 'GO:0034330']"
GO:BP,GO:0008016,regulation of heart contraction,6.310419601137977e-06,True,"""Any process that modulates the frequency, rate or extent of heart contraction. Heart contraction is the process in which the heart decreases in volume in a characteristic way to propel blood through the body."" [GOC:dph, GOC:go_curators, GOC:tb]",204,731,27,21026,0.036935704514363885,0.1323529411764706,query_1,"['GO:0060047', 'GO:1903522']"
GO:BP,GO:0048660,regulation of smooth muscle cell proliferation,6.556252613187369e-06,True,"""Any process that modulates the frequency, rate or extent of smooth muscle cell proliferation."" [CL:0000192, GOC:ebc]",139,731,22,21026,0.030095759233926128,0.15827338129496402,query_1,"['GO:0042127', 'GO:0048659']"
GO:BP,GO:0008284,positive regulation of cell population proliferation,7.051142282257066e-06,True,"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]",954,731,70,21026,0.09575923392612859,0.07337526205450734,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048522']"
GO:BP,GO:0042692,muscle cell differentiation,7.801372401054117e-06,True,"""The process in which a relatively unspecialized cell acquires specialized features of a muscle cell."" [CL:0000187, GOC:go_curators]",405,731,40,21026,0.05471956224350205,0.09876543209876543,query_1,"['GO:0030154', 'GO:0061061']"
GO:BP,GO:0045597,positive regulation of cell differentiation,8.287387053533328e-06,True,"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",879,731,66,21026,0.09028727770177838,0.07508532423208192,query_1,"['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']"
GO:BP,GO:0050808,synapse organization,9.451455050442397e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:pr]",563,731,49,21026,0.06703146374829001,0.08703374777975133,query_1,['GO:0034330']
GO:BP,GO:0030198,extracellular matrix organization,9.578791296977259e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."" [GOC:mah]",327,731,35,21026,0.047879616963064295,0.10703363914373089,query_1,"['GO:0043062', 'GO:0045229']"
GO:BP,GO:0048523,negative regulation of cellular process,9.971056571946909e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5629,731,266,21026,0.36388508891928867,0.04725528513057382,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0043062,extracellular structure organization,1.037619387785612e-05,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",328,731,35,21026,0.047879616963064295,0.10670731707317073,query_1,['GO:0016043']
GO:BP,GO:0034762,regulation of transmembrane transport,1.0640386687488905e-05,True,"""Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."" [GOC:mah]",443,731,42,21026,0.057455540355677154,0.09480812641083522,query_1,"['GO:0050794', 'GO:0051049', 'GO:0055085']"
GO:BP,GO:0007611,learning or memory,1.0750097763944296e-05,True,"""The acquisition and processing of information and/or the storage and retrieval of this information over time."" [GOC:jid, PMID:8938125]",282,731,32,21026,0.04377564979480164,0.11347517730496454,query_1,"['GO:0007610', 'GO:0050890']"
GO:BP,GO:0045229,external encapsulating structure organization,1.1235898359253996e-05,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",329,731,35,21026,0.047879616963064295,0.10638297872340426,query_1,['GO:0016043']
GO:BP,GO:0048659,smooth muscle cell proliferation,1.1308866357002867e-05,True,"""The multiplication or reproduction of smooth muscle cells, resulting in the expansion of a cell population."" [CL:0000192, GOC:ebc, PMID:1840698]",143,731,22,21026,0.030095759233926128,0.15384615384615385,query_1,['GO:0033002']
GO:BP,GO:0007517,muscle organ development,1.5186859521659338e-05,True,"""The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work."" [GOC:jid, ISBN:0198506732]",365,731,37,21026,0.0506155950752394,0.10136986301369863,query_1,"['GO:0048513', 'GO:0061061']"
GO:BP,GO:0048589,developmental growth,1.5409338010137266e-05,True,"""The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another."" [GOC:go_curators]",663,731,54,21026,0.07387140902872777,0.08144796380090498,query_1,"['GO:0032502', 'GO:0040007']"
GO:BP,GO:0009966,regulation of signal transduction,1.740834989368134e-05,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3034,731,162,21026,0.2216142270861833,0.053394858272907054,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0006631,fatty acid metabolic process,1.762045094803803e-05,True,"""The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."" [ISBN:0198547684]",400,731,39,21026,0.0533515731874145,0.0975,query_1,"['GO:0006629', 'GO:0032787']"
GO:BP,GO:0043269,regulation of monoatomic ion transport,1.919746231148036e-05,True,"""Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]",452,731,42,21026,0.057455540355677154,0.09292035398230089,query_1,"['GO:0006811', 'GO:0051049']"
GO:BP,GO:0042445,hormone metabolic process,2.001598053840543e-05,True,"""The chemical reactions and pathways involving any hormone, naturally occurring substances secreted by specialized cells that affects the metabolism or behavior of other cells possessing functional receptors for the hormone."" [GOC:jl]",244,731,29,21026,0.03967168262653899,0.11885245901639344,query_1,"['GO:0008152', 'GO:0010817']"
GO:BP,GO:0048511,rhythmic process,2.0403270744438646e-05,True,"""Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."" [GOC:jid]",305,731,33,21026,0.04514363885088919,0.10819672131147541,query_1,['GO:0008150']
GO:BP,GO:0048863,stem cell differentiation,2.1969898966033977e-05,True,"""The process in which a relatively unspecialized cell acquires specialized features of a stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [CL:0000034, GOC:isa_complete]",245,731,29,21026,0.03967168262653899,0.11836734693877551,query_1,['GO:0030154']
GO:BP,GO:0009628,response to abiotic stimulus,2.205689772812723e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1144,731,78,21026,0.106703146374829,0.06818181818181818,query_1,['GO:0050896']
GO:BP,GO:0090257,regulation of muscle system process,2.3404602150699445e-05,True,"""Any process that modulates the frequency, rate or extent of a muscle system process, a multicellular organismal process carried out by any of the organs or tissues in a muscle system."" [GOC:dph, GOC:tb]",231,731,28,21026,0.038303693570451436,0.12121212121212122,query_1,"['GO:0003012', 'GO:0044057']"
GO:BP,GO:0032787,monocarboxylic acid metabolic process,2.4060761051035566e-05,True,"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]",616,731,51,21026,0.06976744186046512,0.08279220779220779,query_1,['GO:0019752']
GO:BP,GO:0018958,phenol-containing compound metabolic process,3.3024360322231905e-05,True,"""The chemical reactions and pathways involving a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."" [ISBN:0198506732]",114,731,19,21026,0.025991792065663474,0.16666666666666666,query_1,['GO:0008152']
GO:BP,GO:0007420,brain development,3.307093784448813e-05,True,"""The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."" [GOC:dph, GOC:jid, GOC:tb, UBERON:0000955]",754,731,58,21026,0.07934336525307797,0.07692307692307693,query_1,"['GO:0007417', 'GO:0048513', 'GO:0060322']"
GO:BP,GO:0032879,regulation of localization,3.367425939652562e-05,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",2029,731,118,21026,0.16142270861833105,0.05815672745194677,query_1,"['GO:0050789', 'GO:0051179']"
GO:BP,GO:0050890,cognition,3.590584001268818e-05,True,"""The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory."" [ISBN:0721619908]",328,731,34,21026,0.046511627906976744,0.10365853658536585,query_1,['GO:0050877']
GO:BP,GO:0007160,cell-matrix adhesion,4.12221588379836e-05,True,"""The binding of a cell to the extracellular matrix via adhesion molecules."" [GOC:hb]",237,731,28,21026,0.038303693570451436,0.11814345991561181,query_1,['GO:0031589']
GO:BP,GO:0033002,muscle cell proliferation,4.1546051916123735e-05,True,"""The expansion of a muscle cell population by cell division."" [CL:0000187, GOC:mah]",208,731,26,21026,0.03556771545827633,0.125,query_1,['GO:0008283']
